X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-78.622925317,35.874504496,529022,c330e7f9-d92e-494e-ac86-5a7668506b52,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009234,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,6600 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/02/17 05:15:00+00,2020,2,17,0,Monday,35.874504496,-78.622925317,RPD,2020/02/17 22:02:04.983+00
-78.622925317,35.874504496,529023,842c43c3-9411-4d1e-b4d0-c6f8de560892,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009234,FRAUD,56B,Fraud/Credit Card-ATM Fraud,CRIMES AGAINST PROPERTY,6600 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/02/17 05:15:00+00,2020,2,17,0,Monday,35.874504496,-78.622925317,RPD,2020/02/17 22:02:04.983+00
-78.634200013,35.7781073940001,529035,aa32c9dd-318e-4a7c-906c-3fceec8a0f7e,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,P20009235,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,300 BLOCK E HARGETT ST,RALEIGH,RALEIGH,Downtown,2020/02/17 05:48:00+00,2020,2,17,0,Monday,35.7781073940001,-78.6342000129999,RPD,2020/02/17 16:38:21.820+00
,,529038,2ef2112c-3cad-4ddc-a0ed-c9ca3a609288,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Northwest,2020/02/17 06:35:00+00,2020,2,17,1,Monday,0,0,RPD,2020/02/17 16:22:49.540+00
,,529046,ac21533f-7ece-4adc-ac07-48a506f27c4f,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Downtown,2020/02/17 08:11:00+00,2020,2,17,3,Monday,0,0,RPD,2020/02/17 16:39:12.820+00
-78.7310529709999,35.77866399,529050,b7d62068-8ef9-4bbb-80bf-725611b016e8,2020/02/18 19:27:34.446+00,RaleighGIS,2020/02/18 19:27:34.446+00,RaleighGIS,P20009236,WEAPONS VIOLATION,51C,Weapons/Shots Fired,CRIMES AGAINST SOCIETY,400 BLOCK BUCK JONES RD,RALEIGH,RALEIGH,Southwest,2020/02/17 05:38:00+00,2020,2,17,0,Monday,35.77866399,-78.7310529709999,RPD,2020/02/17 18:38:43.260+00
,,529053,fdc16de9-f46e-477b-bb8d-e507f0c2b439,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,,MISCELLANEOUS,81B,Miscellaneous/Deceased Person,,,,RALEIGH,Southeast,2020/02/17 09:23:00+00,2020,2,17,4,Monday,0,0,RPD,2020/02/17 21:49:30.140+00
-78.6121064929999,35.781717429,529066,6827cfbb-0622-4335-9a43-3dfa14a2b1f2,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009252,STOLEN PROPERTY,52C,Stolen Property/Recover Stolen Property (no arrest),,200 BLOCK BERTIE DR,RALEIGH,RALEIGH,Southeast,2020/02/17 12:34:00+00,2020,2,17,7,Monday,35.781717429,-78.6121064929999,RPD,2020/02/17 20:37:42.683+00
,,529077,3305ffc1-60a8-4230-ad01-9d4421c785b2,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,North,2020/02/17 13:04:00+00,2020,2,17,8,Monday,0,0,RPD,2020/02/17 22:04:32.480+00
-78.636174356,35.7853838470001,529081,5f7a354b-918e-42c4-a45b-3d1902ceadf4,2020/02/18 17:58:16.023+00,RaleighGIS,2020/02/18 17:58:16.023+00,RaleighGIS,P20009268,HUMANE,82J,Humane/Chemical Deployment,,400 BLOCK N BLOUNT ST,RALEIGH,RALEIGH,Downtown,2020/02/17 13:25:00+00,2020,2,17,8,Monday,35.785383847,-78.636174356,RPD,2020/02/17 15:07:38+00
