OBJECTID;HSISID;NAME;ADDRESS1;ADDRESS2;CITY;STATE;POSTALCODE;PHONENUMBER;RestaurantOpenDate;FACILITYTYPE;PERMITID;X;Y;GEOCODESTATUS;geo_shape;geo_point_2d
1326865;04092021975;PUBLIX #1514 SEAFOOD;1030 FORESTVILLE RD;;WAKE FOREST;NC;27587;(919) 556-6671;2016-08-29T22:00:00-04:00;Food Stand;19933;-78.5075981;35.94611021;M;"{""type"": ""Point"", ""coordinates"": [-78.50760067551131, 35.946117328474436]}";35.9461173285,-78.5076006755
1326866;04092018242;Black & White Coffee Roasters;6320 ROGERS RD;;ROLESVILLE;NC;27571;;2019-12-01T20:00:00-05:00;Restaurant;19934;-78.46695569;35.92118294;M;"{""type"": ""Point"", ""coordinates"": [-78.46695825526255, 35.921190056676366]}";35.9211900567,-78.4669582553
1326889;04092017319;PUBLIX #1514 DELI;1030 FORESTVILLE RD;;WAKE FOREST;NC;27587;(919) 556-6671;2016-08-29T22:00:00-04:00;Restaurant;20039;-78.5075981;35.94611021;M;"{""type"": ""Point"", ""coordinates"": [-78.50760067551131, 35.946117328474436]}";35.9461173285,-78.5076006755
1326890;04092110542;Emma Conn Magnet Elementary School Cafeteria;1220 BROOKSIDE DR;;RALEIGH;NC;27604;;2020-12-29T20:00:00-05:00;Public School Lunchrooms;20042;-78.62274262;35.79584396;M;"{""type"": ""Point"", ""coordinates"": [-78.62274522459965, 35.79585104158767]}";35.7958510416,-78.6227452246
1326894;04092018374;Peak City Hots;841 Perry  RD;;APEX;NC;27502;(919) 446-6344;2020-05-25T22:00:00-04:00;Restaurant;20049;-78.84486569;35.71972699;M;"{""type"": ""Point"", ""coordinates"": [-78.84486836269771, 35.71973405314338]}";35.7197340531,-78.8448683627
1326910;04092021949;Circle K#2723100;6317 CREEDMOOR RD;;RALEIGH;NC;27612-6709;(919) 870-1108;2016-03-15T21:00:00-04:00;Food Stand;20158;-78.68016239;35.87266067;M;"{""type"": ""Point"", ""coordinates"": [-78.68016501174442, 35.87266776959057]}";35.8726677696,-78.6801650117
1326937;04092017978;Waltonwood Lake Boone;3550 Horton ST;;RALEIGH;NC;27607;(984) 232-0528;2018-11-14T20:00:00-05:00;Restaurant;20262;-78.68915444;35.8139985;M;"{""type"": ""Point"", ""coordinates"": [-78.68915706591005, 35.814005580134705]}";35.8140055801,-78.6891570659
1323876;04092017321;WENDY'S #6339;2091 S MAIN ST;;WAKE FOREST;NC;27587;(919) 569-2133;2016-09-12T22:00:00-04:00;Restaurant;17;-78.53253168;35.94845207;M;"{""type"": ""Point"", ""coordinates"": [-78.5325342621676, 35.94845919294563]}";35.9484591929,-78.5325342622
1323882;04092016891;DUNKIN' DONUTS #348417;3817 WESTERN BLVD;;RALEIGH;NC;27606;(919) 858-6501;2015-04-07T22:00:00-04:00;Restaurant;44;-78.68893912;35.78436913;M;"{""type"": ""Point"", ""coordinates"": [-78.68894174257139, 35.78437620376563]}";35.7843762038,-78.6889417426
1323883;04092016164;RUCKUS PIZZA PASTA & SPIRITS #3;1101 MARKET CENTER  DR;;MORRISVILLE;NC;27560;(919) 388-3500;2012-04-18T22:00:00-04:00;Restaurant;46;-78.81676023;35.80454378;M;"{""type"": ""Point"", ""coordinates"": [-78.81676289578759, 35.80455086076863]}";35.8045508608,-78.8167628958
1323887;04092025272;Harris Teeter #496 Meat/Seafood;940 US 64 HWY W;;APEX;NC;27523-7184;;2019-07-14T22:00:00-04:00;Food Stand;103;-78.82197042;35.74562504;M;"{""type"": ""Point"", ""coordinates"": [-78.82197308561307, 35.74563210931222]}";35.7456321093,-78.8219730856
1323894;04092030454;Capones Chicago Eats  (WCID #750);8101 Holly Springs RD;M-Sat 11-2;Raleigh;NC;27606;(919) 757-9514;2019-12-08T20:00:00-05:00;Pushcarts;153;-78.76164101;35.70858774;M;"{""type"": ""Point"", ""coordinates"": [-78.7616436555806, 35.70859479656206]}";35.7085947966,-78.7616436556
1323898;04092014473;Mackey's Pub;2101 S Main  ST;STE 112;WAKE FOREST;NC;27587;(919) 562-5570;2006-01-19T20:00:00-05:00;Restaurant;175;-78.53310077;35.94802112;M;"{""type"": ""Point"", ""coordinates"": [-78.53310335539992, 35.948028235542935]}";35.9480282355,-78.5331033554
1323901;04092021893;FOOD LION #1654 PRODUCE;7440 LOUISBURG RD;;RALEIGH;NC;27616;(919) 875-1394;2015-10-20T22:00:00-04:00;Food Stand;183;-78.53976999999999;35.87454018;M;"{""type"": ""Point"", ""coordinates"": [-78.53977258320899, 35.874547284374685]}";35.8745472844,-78.5397725832
1323904;04092017901;Vaishno Bhog;810 E Chatham ST;;CARY;NC;27560;(919) 678-3172;2018-07-10T22:00:00-04:00;Restaurant;202;-78.76305622;35.79140272;M;"{""type"": ""Point"", ""coordinates"": [-78.76305887122426, 35.7914097961138]}";35.7914097961,-78.7630588712
1323907;04092017186;STARBUCKS #25115;180 CABELA DR;;GARNER;NC;27529;(919) 819-5059;2016-03-28T22:00:00-04:00;Restaurant;207;-78.58356211;35.69799194;M;"{""type"": ""Point"", ""coordinates"": [-78.58356469330006, 35.69799900524017]}";35.6979990052,-78.5835646933
1323909;04092021426;Speedway #6959;2808 US 70 HWY E;;CLAYTON;NC;27520-9321;(919) 553-3535;2006-12-20T20:00:00-05:00;Food Stand;219;-78.52023463;35.67517694;M;"{""type"": ""Point"", ""coordinates"": [-78.52023719281755, 35.67518400010856]}";35.6751840001,-78.5202371928
1323911;04092016118;TENKO JAPAN;6325 FALLS OF NEUSE  RD;;RALEIGH;NC;27615;(919) 876-4545;2012-02-29T20:00:00-05:00;Restaurant;239;-78.62251606;35.86922851;M;"{""type"": ""Point"", ""coordinates"": [-78.62251867154305, 35.86923561286215]}";35.8692356129,-78.6225186715
1323913;04092017330;GALAXY FUN PARK;14460 FALLS OF NEUSE RD;;RALEIGH;NC;27614;(919) 584-4000;2016-09-18T22:00:00-04:00;Restaurant;242;-78.54362008;35.94386602;M;"{""type"": ""Point"", ""coordinates"": [-78.5436226726421, 35.94387313570081]}";35.9438731357,-78.5436226726
1323914;04092016824;WING STOP #816;7880 ALEXANDER PROMENADE PLACE;;RALEIGH;NC;27617;(919) 237-3919;2014-12-04T20:00:00-05:00;Restaurant;244;-78.77695631;35.91424375;M;"{""type"": ""Point"", ""coordinates"": [-78.77695897085717, 35.914250851309944]}";35.9142508513,-78.7769589709
1323921;04092017541;RISE BISCUITS & DONUTS;169 GRAND HILL PL;;HOLLY SPRINGS;NC;27540;(919) 586-7343;2017-03-02T20:00:00-05:00;Restaurant;272;-78.84948074;35.66266499;M;"{""type"": ""Point"", ""coordinates"": [-78.84948340230015, 35.66267203628249]}";35.6626720363,-78.8494834023
1323926;04092017538;PIZZERIA FAULISI;215 E CHATHAM ST;SUITE 101;CARY;NC;27511;(919) 377-8244;2017-02-20T20:00:00-05:00;Restaurant;298;-78.77734174;35.78786553;M;"{""type"": ""Point"", ""coordinates"": [-78.77734438747797, 35.787872605978066]}";35.787872606,-78.7773443875
1323932;04092021928;CIRCLE K #2723302;1414  E WILLIAMS ST;;APEX;NC;27539;(919) 362-5131;2016-02-24T20:00:00-05:00;Food Stand;328;-78.83931692;35.71149361;M;"{""type"": ""Point"", ""coordinates"": [-78.83931958753148, 35.71150066364438]}";35.7115006636,-78.8393195875
